country,country_code,year,co2_pc,country_code_iso3,country_name_iso3
Afghanistan,AFG,1949,0.0019921463,AFG,Afghanistan
Afghanistan,AFG,1950,0.010837197,AFG,Afghanistan
Afghanistan,AFG,1951,0.011625335,AFG,Afghanistan
Afghanistan,AFG,1952,0.011467511,AFG,Afghanistan
Afghanistan,AFG,1953,0.013123366,AFG,Afghanistan
Afghanistan,AFG,1954,0.012945492,AFG,Afghanistan
Afghanistan,AFG,1955,0.018480647,AFG,Afghanistan
Afghanistan,AFG,1956,0.021669438,AFG,Afghanistan
Afghanistan,AFG,1957,0.034129996,AFG,Afghanistan
Afghanistan,AFG,1958,0.037801724,AFG,Afghanistan
Afghanistan,AFG,1959,0.04335994,AFG,Afghanistan
Afghanistan,AFG,1960,0.045808833,AFG,Afghanistan
Afghanistan,AFG,1961,0.05326608,AFG,Afghanistan
Afghanistan,AFG,1962,0.07322033,AFG,Afghanistan
Afghanistan,AFG,1963,0.07358391,AFG,Afghanistan
Afghanistan,AFG,1964,0.085441604,AFG,Afghanistan
Afghanistan,AFG,1965,0.10033048,AFG,Afghanistan
Afghanistan,AFG,1966,0.106284514,AFG,Afghanistan
Afghanistan,AFG,1967,0.122013114,AFG,Afghanistan
Afghanistan,AFG,1968,0.11373056,AFG,Afghanistan
Afghanistan,AFG,1969,0.08543128,AFG,Afghanistan
Albania,ALB,1933,0.007159781,ALB,Albania
Albania,ALB,1934,0.0070867664,ALB,Albania
Albania,ALB,1935,0.017536236,ALB,Albania
Albania,ALB,1936,0.12147333,ALB,Albania
Albania,ALB,1937,0.27826673,ALB,Albania
Albania,ALB,1938,0.32309836,ALB,Albania
Albania,ALB,1939,0.39708453,ALB,Albania
Albania,ALB,1940,0.62906545,ALB,Albania
Albania,ALB,1941,0.562687,ALB,Albania
Albania,ALB,1942,0.66028625,ALB,Albania
Albania,ALB,1943,0.4049297,ALB,Albania
Albania,ALB,1944,0.13336176,ALB,Albania
Albania,ALB,1945,0.10353056,ALB,Albania
Albania,ALB,1946,0.40916798,ALB,Albania
Albania,ALB,1947,0.774856,ALB,Albania
Albania,ALB,1948,0.58099794,ALB,Albania
Albania,ALB,1949,0.8254675,ALB,Albania
Albania,ALB,1950,0.23778823,ALB,Albania
Albania,ALB,1951,0.3157255,ALB,Albania
Albania,ALB,1952,0.28559932,ALB,Albania
Albania,ALB,1953,0.30811167,ALB,Albania
Albania,ALB,1954,0.3634157,ALB,Albania
Albania,ALB,1955,0.4672824,ALB,Albania
Albania,ALB,1956,0.5757659,ALB,Albania
Albania,ALB,1957,1.005109,ALB,Albania
Albania,ALB,1958,0.77816,ALB,Albania
Albania,ALB,1959,0.9048903,ALB,Albania
Albania,ALB,1960,1.2260456,ALB,Albania
Albania,ALB,1961,1.3412595,ALB,Albania
Albania,ALB,1962,1.4117554,ALB,Albania
Albania,ALB,1963,1.1615194,ALB,Albania
Albania,ALB,1964,1.0940837,ALB,Albania
Albania,ALB,1965,1.1466713,ALB,Albania
Albania,ALB,1966,1.3074435,ALB,Albania
Albania,ALB,1967,1.333065,ALB,Albania
Albania,ALB,1968,1.4835377,ALB,Albania
Albania,ALB,1969,1.5239673,ALB,Albania
Algeria,DZA,1916,0.0006419031,DZA,Algeria
Algeria,DZA,1917,0.0012771984,DZA,Algeria
Algeria,DZA,1918,0.0031769325,DZA,Algeria
Algeria,DZA,1919,0.0031571276,DZA,Algeria
Algeria,DZA,1920,0.0037603965,DZA,Algeria
Algeria,DZA,1921,0.0043493058,DZA,Algeria
Algeria,DZA,1922,0.0043066936,DZA,Algeria
Algeria,DZA,1923,0.0024340036,DZA,Algeria
Algeria,DZA,1924,0.00481467,DZA,Algeria
Algeria,DZA,1925,0.005357156,DZA,Algeria
Algeria,DZA,1926,0.0064758947,DZA,Algeria
Algeria,DZA,1927,0.009316276,DZA,Algeria
Algeria,DZA,1928,0.011485059,DZA,Algeria
Algeria,DZA,1929,0.012478749,DZA,Algeria
Algeria,DZA,1930,0.012864212,DZA,Algeria
Algeria,DZA,1931,0.014877537,DZA,Algeria
Algeria,DZA,1932,0.016805604,DZA,Algeria
Algeria,DZA,1933,0.017591037,DZA,Algeria
