country,country_code,year,co2_pc,country_code_iso3
Africa,,1884,0.00016810493,
Africa,,1885,0.00027865346,
Africa,,1886,0.00036027696,
Africa,,1887,0.00035830968,
Africa,,1888,0.00060305005,
Africa,,1889,0.0009820405,
Africa,,1890,0.0022003131,
Africa,,1891,0.0021923848,
Africa,,1892,0.0035353242,
Africa,,1893,0.013219625,
Africa,,1894,0.017834708,
Africa,,1895,0.024409406,
Africa,,1896,0.031057494,
Africa,,1897,0.034764815,
Africa,,1898,0.043902785,
Africa,,1899,0.039936516,
Africa,,1900,0.016815761,
Africa,,1901,0.028121473,
Africa,,1902,0.04176499,
Africa,,1903,0.056402333,
Africa,,1904,0.06341765,
Africa,,1905,0.07276437,
Africa,,1906,0.08275714,
Africa,,1907,0.0909625,
Africa,,1908,0.09390756,
Africa,,1909,0.10735923,
Africa,,1910,0.12100435,
Africa,,1911,0.116731,
Africa,,1912,0.123760745,
Africa,,1913,0.13460414,
Africa,,1914,0.13367727,
Africa,,1915,0.13349853,
Africa,,1916,0.15768538,
Africa,,1917,0.17112114,
Africa,,1918,0.16625711,
Africa,,1919,0.17010342,
Africa,,1920,0.18615878,
Africa,,1921,0.18404068,
Africa,,1922,0.15595937,
Africa,,1923,0.18666829,
Africa,,1924,0.19445343,
Africa,,1925,0.20180704,
Africa,,1926,0.21327865,
Africa,,1927,0.2069944,
Africa,,1928,0.21005066,
Africa,,1929,0.21359752,
Africa,,1930,0.19853099,
Africa,,1931,0.17142504,
Africa,,1932,0.15295953,
Africa,,1933,0.16163766,
Africa,,1934,0.18227975,
Africa,,1935,0.19862159,
Africa,,1936,0.21307538,
Africa,,1937,0.22562651,
Africa,,1938,0.23430876,
Africa,,1939,0.24609981,
Africa,,1940,0.25714242,
Africa,,1941,0.27570948,
Africa,,1942,0.2956288,
Africa,,1943,0.29735428,
Africa,,1944,0.3243292,
Africa,,1945,0.32344264,
Africa,,1946,0.32124582,
Africa,,1947,0.31506482,
Africa,,1948,0.32733774,
Africa,,1949,0.34674028,
Africa,,1950,0.41649765,
Africa,,1951,0.43507445,
Africa,,1952,0.46483028,
Africa,,1953,0.4620448,
Africa,,1954,0.47448167,
Africa,,1955,0.5110498,
Africa,,1956,0.52177536,
Africa,,1957,0.53477436,
Africa,,1958,0.5492976,
Africa,,1959,0.53397065,
Africa,,1960,0.5522655,
Africa,,1961,0.5578653,
Africa,,1962,0.55908406,
Africa,,1963,0.5783184,
Africa,,1964,0.61948013,
Africa,,1965,0.66652215,
Africa,,1966,0.67250377,
Africa,,1967,0.7027146,
Africa,,1968,0.74299806,
Africa,,1969,0.7812512,
Africa,,1970,0.8285733,
Africa,,1971,0.8848473,
Africa,,1972,0.91397274,
Africa,,1973,0.9557009,
Africa,,1974,0.9551876,
Africa,,1975,0.9258481,
Africa,,1976,0.97630596,
Africa,,1977,0.97882766,
Africa,,1978,1.0157849,
Africa,,1979,1.0643989,
Africa,,1980,1.1106628,
Africa,,1981,1.1039095,
Africa,,1982,1.1156266,
Africa,,1983,1.126713,
Africa,,1984,1.1952857,
Africa,,1985,1.1907741,
Africa,,1986,1.1982255,
Africa,,1987,1.1644024,
Africa,,1988,1.1896181,
Africa,,1989,1.1138495,
Africa,,1990,1.0201536,
Africa,,1991,1.0364912,
Africa,,1992,0.97952044,
Africa,,1993,1.012881,
Africa,,1994,1.1055039,
Africa,,1995,1.1512247,
Africa,,1996,1.1604261,
Africa,,1997,1.1603605,
Africa,,1998,1.155051,
Africa,,1999,1.1095276,
Africa,,2000,1.1187239,
Africa,,2001,1.0786057,
Africa,,2002,1.0284268,
Africa,,2003,1.1047004,
Africa,,2004,1.1373577,
Africa,,2005,1.1216333,
Africa,,2006,1.1235152,
Africa,,2007,1.1243716,
Africa,,2008,1.1470915,
Africa,,2009,1.11267,
Africa,,2010,1.1359096,
Africa,,2011,1.1513131,
Africa,,2012,1.1207952,
Africa,,2013,1.1065615,
Africa,,2014,1.1458046,
Africa,,2015,1.0964046,
Africa,,2016,1.0941445,
Africa,,2017,1.0749665,
Africa,,2018,1.0589373,
Africa,,2019,1.0815163,
Africa,,2020,0.99283797,
Africa,,2021,1.0448412,
Africa,,2022,1.0096707,
Africa,,2023,1.0019028,
Africa,,2024,0.9925683,
Asia,,1750,0.0,
Asia,,1760,0.0,
Asia,,1770,0.0,
Asia,,1780,0.0,
Asia,,1790,0.0,
Asia,,1800,0.0,
Asia,,1801,0.0,
Asia,,1802,0.0,
Asia,,1803,0.0,
Asia,,1804,0.0,
Asia,,1805,0.0,
Asia,,1806,0.0,
Asia,,1807,0.0,
Asia,,1808,0.0,
Asia,,1809,0.0,
Asia,,1810,0.0,
Asia,,1811,0.0,
Asia,,1812,0.0,
Asia,,1813,0.0,
Asia,,1814,0.0,
Asia,,1815,0.0,
Asia,,1816,0.0,
Asia,,1817,0.0,
Asia,,1818,0.0,
Asia,,1819,0.0,
Asia,,1820,0.0,
Asia,,1821,0.0,
Asia,,1822,0.0,
Asia,,1823,0.0,
Asia,,1824,0.0,
Asia,,1825,0.0,
Asia,,1826,0.0,
Asia,,1827,0.0,
Asia,,1828,0.0,
Asia,,1829,0.0,
Asia,,1830,2.9905066e-06,
Asia,,1831,3.574454e-06,
Asia,,1832,2.374271e-06,
Asia,,1833,2.96414e-06,
Asia,,1834,0.0,
Asia,,1835,0.0,
Asia,,1836,0.0,
Asia,,1837,0.0,
Asia,,1838,0.0,
Asia,,1839,0.0,
Asia,,1840,0.0,
Asia,,1841,0.0,
Asia,,1842,0.0,
Asia,,1843,0.0,
Asia,,1844,0.0,
Asia,,1845,0.0,
Asia,,1846,0.0,
Asia,,1847,0.0,
Asia,,1848,0.0,
Asia,,1849,0.0,
Asia,,1850,1.7755536e-05,
Asia,,1851,0.0,
Asia,,1852,0.0,
Asia,,1853,0.0,
Asia,,1854,0.0,
Asia,,1855,5.4349803e-05,
Asia,,1856,0.0,
Asia,,1857,0.0,
Asia,,1858,0.000562305,
Asia,,1859,0.00086622825,
Asia,,1860,0.000901659,
Asia,,1861,0.0007515104,
Asia,,1862,0.0008038955,
Asia,,1863,0.0008834299,
Asia,,1864,0.00085816707,
Asia,,1865,0.0010249394,
Asia,,1866,0.001487503,
Asia,,1867,0.0007845251,
Asia,,1868,0.0006499244,
Asia,,1869,0.00092081283,
Asia,,1870,0.0008324786,
Asia,,1871,0.0011046047,
Asia,,1872,0.0011913183,
Asia,,1873,0.0011356784,
Asia,,1874,0.0019897309,
Asia,,1875,0.0032820506,
Asia,,1876,0.0034002902,
Asia,,1877,0.0034888666,
Asia,,1878,0.0065706633,
Asia,,1879,0.006803454,
Asia,,1880,0.0073939716,
Asia,,1881,0.007548692,
Asia,,1882,0.008134536,
Asia,,1883,0.008943601,
Asia,,1884,0.009575355,
Asia,,1885,0.009922499,
Asia,,1886,0.010529423,
Asia,,1887,0.012102868,
Asia,,1888,0.013379267,
Asia,,1889,0.015648983,
Asia,,1890,0.017035248,
Asia,,1891,0.019324506,
Asia,,1892,0.020425435,
Asia,,1893,0.022707088,
Asia,,1894,0.025184177,
Asia,,1895,0.028980145,
Asia,,1896,0.030733164,
Asia,,1897,0.033263437,
Asia,,1898,0.03961837,
Asia,,1899,0.04173442,
Asia,,1900,0.0472352,
Asia,,1901,0.053730626,
Asia,,1902,0.05553506,
Asia,,1903,0.057932742,
Asia,,1904,0.06466662,
Asia,,1905,0.06534046,
Asia,,1906,0.07236163,
Asia,,1907,0.09935337,
Asia,,1908,0.10754707,
Asia,,1909,0.11000586,
Asia,,1910,0.11077153,
Asia,,1911,0.116914466,
Asia,,1912,0.11804809,
Asia,,1913,0.13440552,
Asia,,1914,0.13878383,
Asia,,1915,0.13177308,
Asia,,1916,0.14348204,
Asia,,1917,0.15393083,
Asia,,1918,0.15736133,
Asia,,1919,0.17176479,
Asia,,1920,0.16289392,
Asia,,1921,0.15834604,
Asia,,1922,0.16586958,
Asia,,1923,0.18098089,
Asia,,1924,0.19237006,
Asia,,1925,0.19291645,
Asia,,1926,0.19449581,
Asia,,1927,0.20889828,
Asia,,1928,0.21753278,
Asia,,1929,0.2244133,
Asia,,1930,0.22206455,
Asia,,1931,0.21206737,
Asia,,1932,0.20998852,
Asia,,1933,0.22802474,
Asia,,1934,0.25575882,
Asia,,1935,0.2755997,
Asia,,1936,0.2943277,
Asia,,1937,0.3081294,
Asia,,1938,0.31207016,
Asia,,1939,0.32788906,
Asia,,1940,0.36602822,
Asia,,1941,0.36846435,
Asia,,1942,0.34242696,
Asia,,1943,0.33510014,
Asia,,1944,0.3337643,
Asia,,1945,0.24729317,
Asia,,1946,0.23661831,
Asia,,1947,0.2835335,
Asia,,1948,0.28443986,
Asia,,1949,0.28081807,
Asia,,1950,0.29264084,
Asia,,1951,0.32592383,
Asia,,1952,0.35405102,
Asia,,1953,0.37090498,
Asia,,1954,0.39751592,
Asia,,1955,0.4427561,
Asia,,1956,0.48061845,
Asia,,1957,0.5287584,
